flavors,vm !=1(trap),vm==0时vd==0(trap),vstart !=0(trap),不支持的sew,,,,不支持的lmul,,,,,,,reg index对齐,,,,,,,,,,,,,,,,,,,,,if(lmul<1) overlap($); else overlap_widen($),,"if($<1) overlap(vd,lmul,vs2,$); else overlap_widen((vd,lmul,vs2,$)",,,reg index不相等,,,,,其他,,,,,index load,1/8 <= emul <=8(emul=lmul*eew/sew),,no_constraint,instr,match,mask,has_vs2,has_vs1,is_ready
"vslide1down.vx vd, vs2, rs1, vm # vd[i] = vs2[i+1], vd[vl-1]=x[rs1]",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vslide1down.vx,0x3c006057,0xfc00707f,1,0,
"vfslide1down.vf vd, vs2, rs1, vm # vd[i] = vs2[i+1], vd[vl-1]=f[rs1]",,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,vfslide1down.vf,0x3c005057,0xfc00707f,1,0,
"vrgather.vv vd, vs2, vs1, vm # vd[i] = (vs1[i] >= VLMAX) ? 0 : vs2[vs1[i]];",,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,4,vrgather.vv,0x30000057,0xfc00707f,1,1,
"vrgatherei16.vv vd, vs2, vs1, vm # vd[i] = (vs1[i] >= VLMAX) ? 0 : vs2[vs1[i]];",,1,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,5,vrgatherei16.vv,0x38000057,0xfc00707f,1,1,
"vrgather.vx vd, vs2, rs1, vm # vd[i] = (x[rs1] >= VLMAX) ? 0 : vs2[x[rs1]]",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,vrgather.vx,0x30004057,0xfc00707f,1,0,
"vrgather.vi vd, vs2, uimm, vm # vd[i] = (uimm >= VLMAX) ? 0 : vs2[uimm]",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,vrgather.vi,0x30003057,0xfc00707f,1,0,
"vcompress.vm vd, vs2, vs1",,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,4,vcompress.vm,0x5e002057,0xfe00707f,1,1,
"vmv1r.v vd, vs2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,vmv1r.v,0x9e003057,0xfe0ff07f,1,0,no
"vmv2r.v vd, vs2",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,3,vmv2r.v,0x9e00b057,0xfe0ff07f,1,0,no
"vmv4r.v vd, vs2",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,3,vmv4r.v,0x9e01b057,0xfe0ff07f,1,0,no
"vmv8r.v vd, vs2",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,3,vmv8r.v,0x9e03b057,0xfe0ff07f,1,0,no
"vandn.vv vd, vs2, vs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,vandn.vv,0x4000057,0xfc00707f,1,1,
"vandn.vx vd, vs2, rs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vandn.vx,0x4004057,0xfc00707f,1,0,
"vbrev.v vd, vs2, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vbrev.v,0x48052057,0xfc0ff07f,1,0,
"vbrev8.v vd, vs2, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vbrev8.v,0x48042057,0xfc0ff07f,1,0,
"vclz.v vd, vs2, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vclz.v,0x48062057,0xfc0ff07f,1,0,
"vrev8.v vd, vs2, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vrev8.v,0x4804a057,0xfc0ff07f,1,0,
"vrol.vv vd, vs2, vs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,vrol.vv,0x54000057,0xfc00707f,1,1,
"vrol.vx vd, vs2, rs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vrol.vx,0x54004057,0xfc00707f,1,0,
"vror.vv vd, vs2, vs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,vror.vv,0x50000057,0xfc00707f,1,1,
"vror.vx vd, vs2, rs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vror.vx,0x50004057,0xfc00707f,1,0,
"vror.vi vd, vs2, uimm, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vror.vi,0x50003057,0xf800707f,1,0,
"vwsll.vv vd, vs2, vs1, vm",,1,,,,,1,,,,,,,1,,1,,1,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,7,vwsll.vv,0xd4000057,0xfc00707f,1,1,
"vwsll.vx vd, vs2, rs1, vm",,1,,,,,1,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,5,vwsll.vx,0xd4004057,0xfc00707f,1,0,
"vwsll.vi vd, vs2, uimm, vm",,1,,,,,1,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,5,vwsll.vi,0xd4003057,0xfc00707f,1,0,
"vle8.v vd, (rs1), vm",,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,vle8.v,0x7,0x1df0707f,0,0,no
"vle16.v vd, (rs1), vm",,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,vle16.v,0x5007,0x1df0707f,0,0,no
"vle32.v vd, (rs1), vm",,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,vle32.v,0x6007,0x1df0707f,0,0,no
"vle64.v vd, (rs1), vm",,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,vle64.v,0x7007,0x1df0707f,0,0,no
"vse8.v vs3, (rs1), vm",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,vse8.v,0x27,0x1df0707f,0,0,no
"vse16.v vs3, (rs1), vm",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,vse16.v,0x5027,0x1df0707f,0,0,no
"vse32.v vs3, (rs1), vm",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,vse32.v,0x6027,0x1df0707f,0,0,no
"vse64.v vs3, (rs1), vm",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,vse64.v,0x7027,0x1df0707f,0,0,no
"vl1re8.v v3, (a0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vl1re8.v,0x2800007,0xfff0707f,0,0,no
"vl1re16.v v3, (a0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vl1re16.v,0x2805007,0xfff0707f,0,0,no
"vl1re32.v v3, (a0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vl1re32.v,0x2806007,0xfff0707f,0,0,no
"vl1re64.v v3, (a0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vl1re64.v,0x2807007,0xfff0707f,0,0,no
"vl2re8.v v2, (a0)",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vl2re8.v,0x22800007,0xfff0707f,0,0,no
"vl2re16.v v2, (a0)",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vl2re16.v,0x22805007,0xfff0707f,0,0,no
"vl2re32.v v2, (a0)",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vl2re32.v,0x22806007,0xfff0707f,0,0,no
"vl2re64.v v2, (a0)",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vl2re64.v,0x22807007,0xfff0707f,0,0,no
"vl4re8.v v4, (a0)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vl4re8.v,0x62800007,0xfff0707f,0,0,no
"vl4re16.v v4, (a0)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vl4re16.v,0x62805007,0xfff0707f,0,0,no
"vl4re32.v v4, (a0)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vl4re32.v,0x62806007,0xfff0707f,0,0,no
"vl4re64.v v4, (a0)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vl4re64.v,0x62807007,0xfff0707f,0,0,no
"vl8re8.v v8, (a0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,vl8re8.v,0xe2800007,0xfff0707f,0,0,no
"vl8re16.v v8, (a0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,vl8re16.v,0xe2805007,0xfff0707f,0,0,no
"vl8re32.v v8, (a0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,vl8re32.v,0xe2806007,0xfff0707f,0,0,no
vl8re64.v v8 (a0),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,vl8re64.v,0xe2807007,0xfff0707f,0,0,no
"vs1r.v v3, (a1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,vs1r.v,0x2800027,0xfff0707f,0,1,no
"vs2r.v v2, (a1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,vs2r.v,0x22800027,0xfff0707f,1,0,no
"vs4r.v v4, (a1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,vs4r.v,0x62800027,0xfff0707f,0,0,no
"vs8r.v v8, (a1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,vs8r.v,0xe2800027,0xfff0707f,0,0,no
"vle8ff.v vd, (rs1), vm",,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,vle8ff.v,0x1000007,0x1df0707f,0,0,no
"vle16ff.v vd, (rs1), vm",,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,vle16ff.v,0x1005007,0x1df0707f,0,0,no
"vle32ff.v vd, (rs1), vm",,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,vle32ff.v,0x1006007,0x1df0707f,0,0,no
"vle64ff.v vd, (rs1), vm",,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,vle64ff.v,0x1007007,0x1df0707f,0,0,no
"vlm.v vd, (rs1)",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,vlm.v,0x2b00007,0xfff0707f,0,0,
"vsm.v vs3, (rs1)",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,vsm.v,0x2b00027,0xfff0707f,0,0,
"vlseg_nf_e_eew_.v vd, (rs1), vm",,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,2,vlseg_nf_e_eew__v,0x00000007,0x1DF0007F,0,0,
"vsseg_nf_e_eew_.v vs3, (rs1), vm",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,2,vsseg_nf_e_eew__v,0x00000027,0x1DF0007F,0,0,
"vlsseg_nf_e_eew_.v vd, (rs1), rs2, vm",,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,2,vlsseg_nf_e_eew__v,0x08000007,0x1C00007F,0,0,
"vssseg_nf_e_eew_.v vs3, (rs1), rs2, vm",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,2,vssseg_nf_e_eew__v,0x08000027,0x1C00007F,0,0,
"vluxseg_nf_ei_eew_.v vd, (rs1), vs2, vm",,1,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,5,vluxseg_nf_ei_eew__v,0x04000007,0x1C00007F,1,0,
"vloxseg_nf_ei_eew_.v vd, (rs1), vs2, vm",,1,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,5,vloxseg_nf_ei_eew__v,0x04000027,0x1C00007F,1,0,
"vsuxseg_nf_ei_eew_.v vs3, (rs1), vs2, vm",,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,3,vsuxseg_nf_ei_eew__v,0x0C000007,0x1C00007F,1,0,
"vsoxseg_nf_ei_eew_.v vs3, (rs1), vs2, vm",,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,3,vsoxseg_nf_ei_eew__v,0x0C000027,0x1C00007F,1,0,
vaesdf.vs,,,,1,1,,1,1,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,vaesdf.vs,0xa600a077,0xfe0ff07f,,,no
vaesdf.vv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vaesdf.vv,0xa200a077,0xfe0ff07f,,,no
vaesdm.vs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vaesdm.vs,0xa6002077,0xfe0ff07f,,,no
vaesdm.vv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vaesdm.vv,0xa2002077,0xfe0ff07f,,,no
vaesef.vs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vaesef.vs,0xa601a077,0xfe0ff07f,,,no
vaesef.vv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vaesef.vv,0xa201a077,0xfe0ff07f,,,no
vaesem.vs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vaesem.vs,0xa6012077,0xfe0ff07f,,,no
vaesem.vv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vaesem.vv,0xa2012077,0xfe0ff07f,,,no
vaeskf1.vi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vaeskf1.vi,0x8a002077,0xfe00707f,,,no
vaeskf2.vi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vaeskf2.vi,0xaa002077,0xfe00707f,,,no
vaesz.vs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vaesz.vs,0xa603a077,0xfe0ff07f,,,no
vclmulh.vv,,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vclmulh.vv,0x34002057,0xfc00707f,,,
vclmulh.vx,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vclmulh.vx,0x34006057,0xfc00707f,,,
vclmul.vv,,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vclmul.vv,0x30002057,0xfc00707f,,,
vclmul.vx,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vclmul.vx,0x30006057,0xfc00707f,,,
vcpop.v,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vcpop.v,0x48072057,0xfc0ff07f,,,
vctz.v,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vctz.v,0x4806a057,0xfc0ff07f,,,
vfncvtbf16.f.f.w,,1,,1,,,1,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,6,vfncvtbf16.f.f.w,0x480e9057,0xfc0ff07f,,,no
vfwcvtbf16.f.f.v,,1,,1,,,1,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,6,vfwcvtbf16.f.f.v,0x48069057,0xfc0ff07f,,,no
vfwmaccbf16.vf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vfwmaccbf16.vf,0xec005057,0xfc00707f,,,no
vfwmaccbf16.vv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vfwmaccbf16.vv,0xec001057,0xfc00707f,,,no
vghsh.vv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vghsh.vv,0xb2002077,0xfe00707f,,,no
vgmul.vv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vgmul.vv,0xa208a077,0xfe0ff07f,,,no
vqdotsu.vv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vqdotsu.vv,0xa8002057,0xfc00707f,,,no
vqdotsu.vx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vqdotsu.vx,0xa8006057,0xfc00707f,,,no
vqdotus.vx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vqdotus.vx,0xb8006057,0xfc00707f,,,no
vqdotu.vv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vqdotu.vv,0xa0002057,0xfc00707f,,,no
vqdotu.vx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vqdotu.vx,0xa0006057,0xfc00707f,,,no
vqdot.vv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vqdot.vv,0xb0002057,0xfc00707f,,,no
vqdot.vx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vqdot.vx,0xb0006057,0xfc00707f,,,no
vsha2ch.vv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vsha2ch.vv,0xba002077,0xfe00707f,,,no
vsha2cl.vv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vsha2cl.vv,0xbe002077,0xfe00707f,,,no
vsha2ms.vv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vsha2ms.vv,0xb6002077,0xfe00707f,,,no
vsm3c.vi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vsm3c.vi,0xae002077,0xfe00707f,,,no
vsm3me.vv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vsm3me.vv,0x82002077,0xfe00707f,,,no
vsm4k.vi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vsm4k.vi,0x86002077,0xfe00707f,,,no
vsm4r.vs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vsm4r.vs,0xa6082077,0xfe0ff07f,,,no
vsm4r.vv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vsm4r.vv,0xa2082077,0xfe0ff07f,,,no
vabs.v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vabs.v,0x48082057,0xf80ff07f,,,no
vabd.vv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vabd.vv,0x44002057,0xfc00707f,,,no
vabdu.vv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vabdu.vv,0x4c002057,0xfc00707f,,,no
vwabdacc.vv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vwabdacc.vv,0x54002057,0xfc00707f,,,no
vwabdaccu.vv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vwabdaccu.vv,0x58002057,0xfc00707f,,,no
vzip.vv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vzip.vv,0xf8040057,0xfc0e007f,,,no
vunzipe.v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vunzipe.v,0x4804b057,0xfc0ff07f,,,no
vunzipo.v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vunzipo.v,0x4804f057,0xfc0ff07f,,,no
vpaire.vv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vpaire.vv,0x3c000057,0xfc0e007f,,,no
vpairo.vv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,vpairo.vv,0x3c000057,0xfc0e007f,,,no
